perfume_id,brand,name,category,gender,base_price,notes,top_note,heart_note,base_note,fragrance,customer_rating,review_count,url,image
99768,Moschino,Toy 2 Bubble Gum Bubble Gum,Eau de Toilette,Women,999.0,"blackcurrant, orange, lemon, citrus, ginger, mango, rose, peach, cinnamon, amber, musk, cedar","blackcurrant, orange, lemon, citrus","ginger, mango, rose, peach, cinnamon","amber, musk, cedar",fruity,5.0,1,/Moschino/Womens-fragrances/Toy-2-Bubble-Gum/Eau-de-Toilette-Spray/index_99768.aspx,https://cdn.parfumdreams.de/Img/Art/13/Moschino-Toy-2-Bubble-Gum-Eau-de-Toilette-Spray-99768x1_1.jpg
83949,Abercrombie & Fitch,First Instinct Woman,Eau de Parfum,Women,1498.33,"grapefruit, magnolia, passion fruit, orange blossom, amber, tonka bean","grapefruit, magnolia, passion fruit",orange blossom,"amber, tonka bean",fruity,5.0,2,/Abercrombie-Fitch/Womens-fragrances/First-Instinct-Woman/Eau-de-Parfum-Spray/index_83949.aspx,https://cdn.parfumdreams.de/Img/Art/13/Abercrombie-Fitch-First-Instinct-Woman-Eau-de-Parfum-Spray-83949x2_2.jpg
19818,Alyssa Ashley,Musk,Parfum,Women,2660.0,"jasmine, rose, violet, iris, moss, musk, wood","jasmine, rose, violet","iris, moss, musk, wood",musk,fresh,4.9,9,/Alyssa-Ashley/Unisex-fragrances/Musk/Perfume-Oil/index_19818.aspx,https://cdn.parfumdreams.de/Img/Art/13/Alyssa-Ashley-Musk-Perfume-Oil-19818_2.jpg
42979,s.Oliver,Soulmate Women,Eau de Parfum,Women,626.67,"citrus, freesia, heliotrope, peony, cotton flower, musk, tonka bean",citrus,"freesia, heliotrope, peony","cotton flower, musk, tonka bean",floral,4.8,4,/sOliver/Womens-fragrances/Soulmate-Women/Eau-de-Parfum-Spray/index_42979.aspx,https://cdn.parfumdreams.de/Img/Art/13/sOliver-Soulmate-Women-Eau-de-Parfum-Spray-42979.jpg
106557,Escada,Fairy Love,Eau de Toilette,Women,759.0,"pear, jasmine, hazelnut",pear,jasmine,hazelnut,fruity,5.0,1,/Escada/Womens-fragrances/Fairy-Love/Eau-de-Toilette-Spray/index_106557.aspx,https://cdn.parfumdreams.de/Img/Art/13/Escada-Fairy-Love-Eau-de-Toilette-Spray-106557x2_12.jpg
25829,Marbert,Bath & Body,Eau de Toilette,Women,239.0,"pineapple, hyacinth, orange, lily, carnation, rose, patchouli, sandalwood, vanilla","pineapple, hyacinth, orange","lily, carnation, rose","patchouli, sandalwood, vanilla",fresh,5.0,13,/Marbert/Skin-care/Bath-Body/Eau-de-Toilette-Spray/index_25829.aspx,https://cdn.parfumdreams.de/Img/Art/13/Marbert-Bath-Body-Eau-de-Toilette-Spray-25829_1.jpg
87084,4711,Floral Collection Lilac,Eau de Cologne,Women,188.0,"bergamot, freesia, peach, jasmine, rose","bergamot, freesia, peach","jasmine, rose",,floral,5.0,2,/4711/Womens-fragrances/Floral-Collection/Eau-de-Cologne-Spray/index_87084.aspx,https://cdn.parfumdreams.de/Img/Art/13/4711-Floral-Collection-Lilac-Eau-de-Cologne-Spray-87084_1.jpg
111350,Abercrombie & Fitch,Authentic Moment Women,Eau de Parfum,Women,1231.67,"mandarin, rhubarb, red fruit, jasmine, rose, musk, patchouli, cedar","mandarin, rhubarb, red fruit","jasmine, rose","musk, patchouli, cedar",fruity,4.5,2,/Abercrombie-Fitch/Womens-fragrances/Authentic-Moment-Women/Eau-de-Parfum-Spray/index_111350.aspx,https://cdn.parfumdreams.de/Img/Art/13/Abercrombie-Fitch-Authentic-Moment-Women-Eau-de-Parfum-Spray-111350.jpg
107962,Grès,Cabotine Rose,Eau de Toilette,Women,498.33,"pear, cherry, mandarin, jasmine, mimosa, peony, sandalwood, vetiver, plumeria","pear, cherry, mandarin","jasmine, mimosa, peony","sandalwood, vetiver, plumeria",floral,0.0,0,/Gres/Womens-fragrances/Cabotine-Rose/Eau-de-Toilette-Spray/index_107962.aspx,https://cdn.parfumdreams.de/Img/Art/13/Gres-Cabotine-Rose-Eau-de-Toilette-Spray-107962.jpg
123263,Tous,Your Moments,Eau de Toilette,Women,1098.33,"apricot, blackberry, mandarin, jasmine, lily of the valley, peony, musk, patchouli","apricot, blackberry, mandarin","jasmine, lily of the valley, peony","musk, patchouli",fruity,0.0,0,/Tous/Womens-fragrances/Your-Moments/Eau-de-Toilette-Spray/index_123263.aspx,https://cdn.parfumdreams.de/Img/Art/13/Tous-Your-Moments-Eau-de-Toilette-Spray-123263x1_1.jpg
84689,Eisenberg,L'Art du Parfum I Am Femme,Eau de Parfum,Women,2231.67,"bergamot, orange, magnolia, pepper, vetiver, amber, musk, sandalwood","bergamot, orange","magnolia, pepper, vetiver","amber, musk, sandalwood",fruity,5.0,1,/Eisenberg/Womens-fragrances/LArt-du-Parfum/Eau-de-Parfum-Spray/index_84689.aspx,https://cdn.parfumdreams.de/Img/Art/13/Eisenberg-LArt-du-Parfum-I-Am-Femme-Eau-de-Parfum-Spray-84689_8.jpg
33114,Bettina Barty,Vanilla,Eau de Toilette,Women,199.0,"bergamot, carnation, cinnamon, jasmine, rose, cedar, amber, musk, vanilla","bergamot, carnation, cinnamon","jasmine, rose, cedar","amber, musk, vanilla",floral,5.0,8,/Bettina-Barty/Womens-fragrances/Vanilla/Eau-de-Toilette-Spray/index_33114.aspx,https://cdn.parfumdreams.de/Img/Art/13/Bettina-Barty-Vanilla-Eau-de-Toilette-Spray-33114.jpg
123262,Tous,Your Powers,Eau de Toilette,Women,1098.33,"pear, strawberries, mandarin, orange, jasmine, rose, sandalwood, amber, coconut, musk, patchouli, vanilla","pear, strawberries, mandarin, orange","jasmine, rose, sandalwood","amber, coconut, musk, patchouli, vanilla",fruity,0.0,0,/Tous/Womens-fragrances/Your-Powers/Eau-de-Toilette-Spray/index_123262.aspx,https://cdn.parfumdreams.de/Img/Art/13/Tous-Your-Powers-Eau-de-Toilette-Spray-123262x1_1.jpg
105276,Lanvin,Éclat d‘Arpège Sheer,Eau de Toilette,Women,679.0,"dragon fruit, lotus flower, mandarin, lily of the valley, peony, water jasmine, amber, musk, cedar","dragon fruit, lotus flower, mandarin","lily of the valley, peony, water jasmine","amber, musk, cedar",fruity,0.0,0,/Lanvin/Womens-fragrances/Eclat-dArpege/Eau-de-Toilette-Spray/index_105276.aspx,https://cdn.parfumdreams.de/Img/Art/13/Lanvin-Eclat-dArpege-Sheer-Eau-de-Toilette-Spray-105276x1_1.jpg
94591,Ariana Grande,R.E.M.,Eau de Parfum,Women,1265.0,"pear, figs, caramel, lavender, pear blossom, musk, sandalwood","pear, figs, caramel","lavender, pear blossom","musk, sandalwood",floral,5.0,4,/Ariana-Grande/Womens-fragrances/REM/Eau-de-Parfum-Spray/index_94591.aspx,https://cdn.parfumdreams.de/Img/Art/13/Ariana-Grande-REM-Eau-de-Parfum-Spray-94591x2_2.jpg
123403,LA RIVE,Women's Collection Vanilla Touch,Eau de Parfum,Women,94.33,"hawthorn, fruity notes, coumarin, caramel, lily of the valley, musk, sandalwood, vanilla, ambroxan, cedar wood","hawthorn, fruity notes","coumarin, caramel, lily of the valley","musk, sandalwood, vanilla, ambroxan, cedar wood",floral,0.0,0,/LA-RIVE/Womens-fragrances/Womens-Collection/Eau-de-Parfum-Spray/index_123403.aspx,https://cdn.parfumdreams.de/Img/Art/13/LA-RIVE-Womens-Collection-Vanilla-Touch-Eau-de-Parfum-Spray-123403.jpg
44713,Otto Kern,Commitment Woman,Eau de Toilette,Women,546.67,"bergamot, cardamom, rhubarb, amber, vanilla","bergamot, cardamom, rhubarb",,"amber, vanilla",oriental,4.8,9,/Otto-Kern/Womens-fragrances/Commitment-Woman/Eau-de-Toilette-Spray/index_44713.aspx,https://cdn.parfumdreams.de/Img/Art/13/Otto-Kern-Commitment-Woman-Eau-de-Toilette-Spray-44713_1.jpg
84686,Eisenberg,L'Art du Parfum Back To Paris Femme,Eau de Parfum,Women,1459.5,"bergamot, cardamom, mandarin, almond, pepper, jasmine, lavender, rose, musk, patchouli, sandalwood, vanilla","bergamot, cardamom, mandarin, almond, pepper","jasmine, lavender, rose","musk, patchouli, sandalwood, vanilla",oriental,0.0,0,/Eisenberg/Womens-fragrances/LArt-du-Parfum/Eau-de-Parfum-Spray/index_84686.aspx,https://cdn.parfumdreams.de/Img/Art/13/Eisenberg-LArt-du-Parfum-Back-To-Paris-Femme-Eau-de-Parfum-Spray-84686_10.jpg
116017,Michael Michalsky,Intense for Women,Eau de Parfum,Women,398.0,"bergamot, coffee, almond, lemon, iris, jasmine, rose, tuberose, orange blossom, amber, cocoa, patchouli, sandalwood, tonka bean, vanilla, cinnamon, cedar wood","bergamot, coffee, almond, lemon","iris, jasmine, rose, tuberose, orange blossom","amber, cocoa, patchouli, sandalwood, tonka bean, vanilla, cinnamon, cedar wood",powdery,5.0,2,/Michael-Michalsky/Womens-fragrances/Intense-for-Women/Eau-de-Parfum-Spray/index_116017.aspx,https://cdn.parfumdreams.de/Img/Art/13/Michael-Michalsky-Intense-for-Women-Eau-de-Parfum-Spray-116017.jpg
123397,LA RIVE,Women's Collection Touch Of Woman,Eau de Parfum,Women,94.33,"pear, pepper, orange blossom, jasmine, coffee, liquorice, bitter almond, patchouli, vanilla, cedar wood, cashmeran","pear, pepper, orange blossom","jasmine, coffee, liquorice, bitter almond","patchouli, vanilla, cedar wood, cashmeran",oriental,0.0,0,/LA-RIVE/Womens-fragrances/Womens-Collection/Eau-de-Parfum-Spray/index_123397.aspx,https://cdn.parfumdreams.de/Img/Art/13/LA-RIVE-Womens-Collection-Touch-Of-Woman-Eau-de-Parfum-Spray-123397.jpg
107237,Bruno Banani,Dangerous Woman,Eau de Parfum,Women,531.67,"blackcurrant, blossoms, coconut, heliotrope, vanilla",blackcurrant,"blossoms, coconut","heliotrope, vanilla",fruity,0.0,0,/Bruno-Banani/Womens-fragrances/Dangerous-Woman/Eau-de-Parfum-Spray/index_107237.aspx,https://cdn.parfumdreams.de/Img/Art/13/Bruno-Banani-Dangerous-Woman-Eau-de-Parfum-Spray-107237.jpg
89026,Dsquared2,Red Wood,Eau de Toilette,Women,1031.67,"cranberry, pepper, magnolia, rose, amber, musk, cedar","cranberry, pepper","magnolia, rose","amber, musk, cedar",fruity,5.0,1,/Dsquared2/Womens-fragrances/Red-Wood/Eau-de-Toilette-Spray/index_89026.aspx,https://cdn.parfumdreams.de/Img/Art/13/Dsquared2-Red-Wood-Eau-de-Toilette-Spray-89026.jpg
16325,Grès,Cabotine,Eau de Toilette,Women,498.33,"blackcurrant, coriander, orange, peach, plum, cinnamon, freesia, heliotrope, hyacinth, ginger, iris, carnation, amber, musk, sandalwood, tonka bean, vanilla","blackcurrant, coriander, orange, peach, plum, cinnamon","freesia, heliotrope, hyacinth, ginger, iris, carnation","amber, blackcurrant, musk, sandalwood, tonka bean, vanilla",floral,4.3,3,/Gres/Womens-fragrances/Cabotine/Eau-de-Toilette-Spray/index_16325.aspx,https://cdn.parfumdreams.de/Img/Art/13/Gres-Cabotine-Eau-de-Toilette-Spray-16325_1.jpg
18146,Elizabeth Arden,5th Avenue,Eau de Parfum,Women,426.0,"magnolia, mandarin, rose, peach, nutmeg, amber, musk, vanilla","magnolia, mandarin","rose, peach, nutmeg","amber, musk, vanilla",floral,4.9,8,/Elizabeth-Arden/Womens-fragrances/5th-Avenue/Eau-de-Parfum-Spray/index_18146.aspx,https://cdn.parfumdreams.de/Img/Art/13/Elizabeth-Arden-5th-Avenue-Eau-de-Parfum-Spray-18146.jpg
74806,Betty Barclay,Beautiful Eden,Eau de Toilette,Women,710.0,"pear, blackcurrant, mandarin, jasmine, lily of the valley, peony, sandalwood, vanilla, cedar","pear, blackcurrant, mandarin","jasmine, lily of the valley, peony","sandalwood, vanilla, cedar",fruity,5.0,2,/Betty-Barclay/Womens-fragrances/Beautiful-Eden/Eau-de-Toilette-Spray/index_74806.aspx,https://cdn.parfumdreams.de/Img/Art/13/Betty-Barclay-Beautiful-Eden-Eau-de-Toilette-Spray-74806.jpg
114239,Lanvin,Éclat d‘Arpège Mon Éclat,Eau de Parfum,Women,965.0,"bergamot, apricot, jasmine, rose, musk, sandalwood",bergamot,"apricot, jasmine, rose","musk, sandalwood",fruity,0.0,0,/Lanvin/Womens-fragrances/Eclat-dArpege/Eau-de-Parfum-Spray/index_114239.aspx,https://cdn.parfumdreams.de/Img/Art/13/Lanvin-Eclat-dArpege-Eau-de-Parfum-Spray-114239.jpg
19819,Alyssa Ashley,Musk,Eau de Parfum,Women,898.33,"jasmine, rose, violet, iris, moss, musk, wood","jasmine, rose, violet","iris, moss, musk, wood",musk,floral,4.9,9,/Alyssa-Ashley/Unisex-fragrances/Musk/Eau-de-Parfum-Spray/index_19819.aspx,https://cdn.parfumdreams.de/Img/Art/13/Alyssa-Ashley-Musk-Eau-de-Parfum-Spray-19819_3.jpg
107229,Bruno Banani,Woman's Best,Eau de Toilette,Women,431.67,"grapefruit, orange, peach, pear, pomegranate, rose, sandalwood, tonka bean, panacotta","grapefruit, orange, peach","pear, pomegranate, rose","sandalwood, tonka bean, panacotta",sweet,5.0,1,/Bruno-Banani/Womens-fragrances/Womans-Best/Eau-de-Toilette-Spray/index_107229.aspx,https://cdn.parfumdreams.de/Img/Art/13/Bruno-Banani-Womans-Best-Eau-de-Toilette-Spray-107229.jpg
93713,s.Oliver,Follow Your Soul Women,Eau de Toilette,Women,546.67,"blackcurrant, pepper, lemon, jasmine, magnolia, rose, sandalwood, cedar","blackcurrant, pepper, lemon","jasmine, magnolia, rose","sandalwood, cedar",floral,0.0,0,/sOliver/Womens-fragrances/Follow-Your-Soul-Women/Eau-de-Toilette-Spray/index_93713.aspx,https://cdn.parfumdreams.de/Img/Art/13/sOliver-Follow-Your-Soul-Women-Eau-de-Toilette-Spray-93713x1_2.jpg
15139,Bruno Banani,Pure Woman,Eau de Toilette,Women,431.67,"freesia, blackcurrant, citrus, mango, peony, violet, amber, vanilla","freesia, blackcurrant, citrus","mango, peony, violet","amber, vanilla",floral,5.0,11,/Bruno-Banani/Womens-fragrances/Pure-Woman/Eau-de-Toilette-Spray/index_15139.aspx,https://cdn.parfumdreams.de/Img/Art/13/Bruno-Banani-Pure-Woman-Eau-de-Toilette-Spray-15139_1.jpg
106769,Bench.,Identity for Her,Eau de Toilette,Women,398.33,"cherry, plum, freesia, iris, orchid, amber, musk, vanilla","cherry, plum","freesia, iris, orchid","amber, musk, vanilla",fruity,0.0,0,/Bench/Womens-fragrances/Identity-for-Her/Eau-de-Toilette-Spray/index_106769.aspx,https://cdn.parfumdreams.de/Img/Art/13/Bench-Identity-for-Her-Eau-de-Toilette-Spray-106769.jpg
88729,Sana Jardin Paris,Jaipur Chant,Eau de Parfum,Women,2995.0,"clove, lemon, jasmine, daffodil, tuberose, musk, muscone","clove, lemon","jasmine, daffodil, tuberose","musk, muscone",floral,0.0,0,/Sana-Jardin-Paris/Womens-fragrances/Jaipur-Chant/Eau-de-Parfum-Spray/index_88729.aspx,https://cdn.parfumdreams.de/Img/Art/13/Sana-Jardin-Paris-Jaipur-Chant-Eau-de-Parfum-Spray-88729_2.jpg
15345,Calvin Klein,Eternity Moment,Eau de Parfum,Women,798.33,"pomegranate, guava, lychee, flowers, jasmine, peony, water lily, wood, musk","pomegranate, guava, lychee","flowers, jasmine, peony, water lily","wood, musk",floral,4.7,19,/Calvin-Klein/Womens-fragrances/Eternity-Moment/Eau-de-Parfum-Spray/index_15345.aspx,https://cdn.parfumdreams.de/Img/Art/13/Calvin-Klein-Eternity-Moment-Eau-de-Parfum-Spray-15345_1.jpg
43805,Christina Aguilera,Unforgettable,Eau de Parfum,Women,730.0,"pomegranate, plum, jasmine, rose, tonka bean, vanilla, cashmeran","pomegranate, plum","jasmine, rose","tonka bean, vanilla, cashmeran",floral,5.0,6,/Christina-Aguilera/Womens-fragrances/Unforgettable/Eau-de-Parfum-Spray/index_43805.aspx,https://cdn.parfumdreams.de/Img/Art/13/Christina-Aguilera-Unforgettable-Eau-de-Parfum-Spray-43805.jpg
97851,Police,To Be Sweet Girl,Eau de Parfum,Women,523.75,"bergamot, blackcurrant, orange, jasmine, violet, wood, patchouli, cashmeran","bergamot, blackcurrant, orange","jasmine, violet","wood, patchouli, cashmeran",sweet,0.0,0,/Police/Womens-fragrances/To-Be-Sweet-Girl/Eau-de-Parfum-Spray/index_97851.aspx,https://cdn.parfumdreams.de/Img/Art/13/Police-To-Be-Sweet-Girl-Eau-de-Parfum-Spray-97851.jpg
93712,s.Oliver,Follow Your Soul Women,Eau de Parfum,Women,680.0,"blackcurrant, pepper, lemon, jasmine, magnolia, rose, sandalwood, cedar","blackcurrant, pepper, lemon","jasmine, magnolia, rose","sandalwood, cedar",floral,0.0,0,/sOliver/Womens-fragrances/Follow-Your-Soul-Women/Eau-de-Parfum-Spray/index_93712.aspx,https://cdn.parfumdreams.de/Img/Art/13/sOliver-Follow-Your-Soul-Women-Eau-de-Parfum-Spray-93712.jpg
103077,Rochas,Girl,Eau de Toilette,Women,598.75,"blackcurrant, neroli, pepper, jasmine, orange, orchid, sandalwood, vanilla, cedar","blackcurrant, neroli, pepper","jasmine, orange, orchid","sandalwood, vanilla, cedar",citrusy,0.0,0,/Rochas/Womens-fragrances/Girl/Eau-de-Toilette-Spray/index_103077.aspx,https://cdn.parfumdreams.de/Img/Art/13/Rochas-Girl-Eau-de-Toilette-Spray-103077x2_2.jpg
67543,s.Oliver,So Pure Women,Eau de Parfum,Women,626.67,"apple, ivy, freesia, jasmine, cashmeran, musk, sandalwood, ambroxan","apple, ivy","freesia, jasmine, cashmeran","musk, sandalwood, ambroxan",floral,4.5,2,/sOliver/Womens-fragrances/So-Pure-Women/Eau-de-Parfum-Spray/index_67543.aspx,https://cdn.parfumdreams.de/Img/Art/13/sOliver-So-Pure-Women-Eau-de-Parfum-Spray-67543.jpg
20162,Alyssa Ashley,Vanilla,Eau de Toilette,Women,598.0,"bergamot, lemon, jasmine, vanilla","bergamot, lemon",jasmine,vanilla,oriental,5.0,5,/Alyssa-Ashley/Womens-fragrances/Vanilla/Eau-de-Toilette-Spray/index_20162.aspx,https://cdn.parfumdreams.de/Img/Art/13/Alyssa-Ashley-Vanilla-Eau-de-Toilette-Spray-20162_1.jpg
22820,Nonchalance,Nonchalance,Eau de Toilette,Women,382.67,"aldehyde, green notes, geranium, iris, jasmine, lily of the valley, rose, violet, amber, oakmoss, musk, sandalwood, tonka bean, cedar","aldehyde, green notes","geranium, iris, jasmine, lily of the valley, rose, violet","amber, oakmoss, musk, sandalwood, tonka bean, cedar",classic,5.0,2,/Nonchalance/Womens-fragrances/Nonchalance/Eau-de-Toilette-Spray/index_22820.aspx,https://cdn.parfumdreams.de/Img/Art/13/Nonchalance-Nonchalance-Eau-de-Toilette-Spray-22820_1.jpg
42691,Mexx,Fresh Woman,Eau de Toilette,Women,665.0,"flowers, citrus, water lily, cedar","flowers, citrus","flowers, water lily",cedar,floral,5.0,3,/Mexx/Womens-fragrances/Fresh-Woman/Eau-de-Toilette-Spray/index_42691.aspx,https://cdn.parfumdreams.de/Img/Art/13/Mexx-Fresh-Woman-Eau-de-Toilette-Spray-42691.jpg
24273,Tosca,Tosca,Eau de Toilette,Women,698.0,"aldehyde, bergamot, neroli, lemon, jasmine, lily of the valley, daffodil, rose, ylang-ylang, amber, labdanum, patchouli, vanilla","aldehyde, bergamot, neroli, lemon","jasmine, lily of the valley, daffodil, rose, ylang-ylang","amber, labdanum, patchouli, vanilla",floral,5.0,4,/Tosca/Womens-fragrances/Tosca/Eau-de-Toilette-Spray/index_24273.aspx,https://cdn.parfumdreams.de/Img/Art/13/Tosca-Tosca-Eau-de-Toilette-Spray-24273x1_2.jpg
22861,s.Oliver,Selection Women,Eau de Parfum,Women,680.0,"apple, bergamot, lime, nectarine, jasmine, peony, amber, musk, cedar","apple, bergamot, lime, nectarine","jasmine, peony","amber, musk, cedar",floral,4.9,9,/sOliver/Womens-fragrances/Selection-Women/Eau-de-Parfum-Spray/index_22861.aspx,https://cdn.parfumdreams.de/Img/Art/13/sOliver-Selection-Women-Eau-de-Parfum-Spray-22861.jpg
22855,s.Oliver,Women,Eau de Parfum,Women,520.67,"basil, bergamot, pepper, sage, cedar, amber, musk, sandalwood","basil, bergamot, pepper","sage, cedar","amber, musk, sandalwood",woody,5.0,3,/sOliver/Womens-fragrances/Women/Eau-de-Parfum-Spray/index_22855.aspx,https://cdn.parfumdreams.de/Img/Art/13/sOliver-Women-Eau-de-Parfum-Spray-22855.jpg
120161,CARE fragrances,Energy Boost,Eau de Parfum,Women,359.0,"apple, peony, grapefruit, cedar wood","apple, peony",grapefruit,cedar wood,floral,0.0,0,/CARE-fragrances/Womens-fragrances/Energy-Boost/Eau-de-Parfum-Spray/index_120161.aspx,https://cdn.parfumdreams.de/Img/Art/13/CARE-Energy-Boost-Eau-de-Parfum-Spray-120161.jpg
