url,fragrance
/Armani/Emporio-Armani-Parfums/Acqua-di-Gio-Homme/Eau-de-Toilette-Spray/index_11073.aspx,aquatic
/Davidoff/Mens-fragrances/Cool-Water/After-Shave/index_14083.aspx,aquatic
/Issey-Miyake/Womens-fragrances/A-Drop-dIssey/Eau-de-Parfum-Spray/index_113616.aspx,aquatic
/Armani/Emporio-Armani-Parfums/Acqua-di-Gio-Homme/Eau-de-Parfum-Spray/index_105112.aspx,aquatic
/Acqua-di-Parma/Unisex-fragrances/Colonia/Eau-de-Cologne-Spray/index_69345.aspx,aquatic
/Maison-Margiela/Unisex-fragrances/Replica/Eau-de-Toilette-Spray/index_72232.aspx,aquatic
/Montale/Fragrances/Sea/Eau-de-Parfum-Spray/index_118742.aspx,aquatic
/Davidoff/Mens-fragrances/Cool-Water/Eau-de-Parfum-Spray/index_86615.aspx,aquatic
/MEMO-Paris/Collections/Cuirs-Nomades/Eau-de-Parfum-Spray/index_96448.aspx,aquatic
/Sisley/Unisex-fragrances/Les-Eaux-Revees/Eau-de-Toilette-Spray/index_120593.aspx,aquatic
/Toni-Gard/Mens-fragrances/Seaside-Man/Eau-de-Toilette-Spray/index_94493.aspx,aquatic
/KENZO/Mens-fragrances/KENZO-HOMME/Gift-Set/index_116001.aspx,aquatic
/Mancera/Collections/Mancera-Classics/Eau-de-Parfum-Spray/index_118740.aspx,aquatic
/Issey-Miyake/Womens-fragrances/LEau-dIssey/Eau-de-Toilette-Spray/index_90208.aspx,aquatic
/Rance/Mens-fragrances/Le-Vainqueur/Eau-de-Parfum-Spray/index_13656.aspx,aquatic
/Davidoff/Mens-fragrances/Cool-Water/All-Over-Body-Spray/index_67486.aspx,aquatic
/Zarkoperfume/Unisex-fragrances/Menage-a-Trois/Eau-de-Parfum-Spray/index_90968.aspx,aquatic
/David-Beckham/Mens-fragrances/Collection/Eau-de-Parfum-Spray/index_111947.aspx,aquatic
/Jean-Len/Unisex-fragrances/Fragrances/Eau-de-Toilette-Spray/index_103586.aspx,aquatic
/Molton-Brown/Fragrances/Womens-fragrances/Eau-de-Toilette-Spray/index_92862.aspx,aquatic
/Jimmy-Choo/Mens-fragrances/Man-Aqua/Eau-de-Toilette-Spray/index_113645.aspx,aquatic
/John-Varvatos/Mens-fragrances/XX-Artisan-Teal/Eau-de-Toilette-Spray/index_122548.aspx,aquatic
/KENZO/Mens-fragrances/KENZO-HOMME/Gift-Set/index_116002.aspx,aquatic
/Davidoff/Womens-fragrances/Cool-Water-Woman/Shower-Gel/index_14137.aspx,aquatic
/Berdoues/Unisex-fragrances/Eaux-de-Toilette-95-Organics/Eau-de-Toilette-Spray/index_111432.aspx,aquatic
/LA-RIVE/Mens-fragrances/Mens-Collection/Eau-de-Toilette-Spray/index_123396.aspx,aquatic
/Coach/Mens-fragrances/Blue/Eau-de-Toilette-Spray/index_93222.aspx,aquatic
/Karl-Lagerfeld/Mens-fragrances/Karl/Eau-de-Toilette-Spray/index_99611.aspx,aquatic
/Davidoff/Mens-fragrances/Cool-Water/After-Shave-Balm/index_35257.aspx,aquatic
/Baldessarini/Mens-fragrances/Cool-Force/Shower-Gel/index_64654.aspx,aquatic
/Zarkoperfume/Unisex-fragrances/Inception/Eau-de-Parfum-Spray/index_90960.aspx,aquatic
/BON-PARFUMEUR/Collection/Les-Classiques/Eau-de-Parfum-Spray/index_98771.aspx,aquatic
/Mancera/Collections/Rainbow-Collection/Eau-de-Parfum-Spray/index_103910.aspx,aquatic
/THE-MERCHANT-OF-VENICE/Collection/Nobil-Homo/Eau-de-Parfum-Spray/index_69934.aspx,aquatic
/Creed/Unisex-fragrances/Acqua-Originale/Eau-de-Parfum-Spray/index_108608.aspx,aquatic
/Creed/Unisex-fragrances/Acqua-Originale/Eau-de-Parfum-Spray/index_108609.aspx,aquatic
/Montale/Fragrances/Oud/Eau-de-Parfum-Spray/index_40083.aspx,aquatic
/Atkinsons/The-Eau-Collection/Scilly-Neroli/Eau-de-Parfum/index_58094.aspx,aquatic
/Montale/Fragrances/Wood/Eau-de-Parfum-Spray/index_77832.aspx,aquatic
/BALR/Mens-fragrances/Reflect/Eau-de-Parfum-Spray/index_105239.aspx,aquatic
/Montale/Fragrances/Sea/Eau-de-Parfum-Spray/index_39760.aspx,aquatic
/Mancera/Collections/Mancera-Classics/Eau-de-Parfum-Spray/index_63751.aspx,aquatic
/Mancera/Collections/Mancera-Classics/Eau-de-Parfum-Spray/index_63761.aspx,aquatic
/Montale/Fragrances/Sea/Eau-de-Parfum-Spray/index_39759.aspx,aquatic
