brand,name_1,name_2,category,gender,base_price,url,image
Marbert,Man Classic Steel Blue,,Eau de Toilette Spray,Men,BP: €179.50* / 1000 ml,/Marbert/Mens-fragrances/Man-Classic-Steel-Blue/Eau-de-Toilette-Spray/index_105794.aspx,https://cdn.parfumdreams.de/Img/Art/13/Marbert-ManClassic-Steel-Blue-Eau-de-Toilette-Spray-105794_1.jpg
Tonino Lamborghini,Millennials Dinamico,,Eau de Toilette Spray,Men,BP: €507.50* / 1000 ml,/Tonino-Lamborghini/Mens-fragrances/Millennials-Dinamico/Eau-de-Toilette-Spray/index_109759.aspx,https://cdn.parfumdreams.de/Img/Art/13/Tonino-Lamborghini-Millenials-Dinamico-Eau-de-Toilette-Spray-109759.jpg
Amouage,The Main Collection,,Eau de Parfum Spray,Men,"BP: €3,450.00* / 1000 ml",/Amouage/Collections/The-Main-Collection/Eau-de-Parfum-Spray/index_28187.aspx,https://cdn.parfumdreams.de/Img/Art/13/Amouage-The-Main-Collection-Epic-Man-Eau-de-Parfum-Spray-28187_1.jpg
Amouage,The Main Collection,,Eau de Parfum Spray,Men,"BP: €3,450.00* / 1000 ml",/Amouage/Collections/The-Main-Collection/Eau-de-Parfum-Spray/index_38866.aspx,https://cdn.parfumdreams.de/Img/Art/13/Amouage-The-Main-Collection-Interlude-Man-Eau-de-Parfum-Spray-38866_1.jpg
Save Brave,UrBN,,Eau de Toilette Spray,Men,BP: €673.75* / 1000 ml,/Save-Brave/Mens-fragrances/UrBN/Eau-de-Toilette-Spray/index_120446.aspx,https://cdn.parfumdreams.de/Img/Art/13/Save-Brave-UrBN-Eau-de-Toilette-Spray-120446.jpg
Police,To Be Born To Shine For Man,,Eau de Toilette Spray,Men,BP: €523.75* / 1000 ml,/Police/Mens-fragrances/To-Be-Born-To-Shine-For-Man/Eau-de-Toilette-Spray/index_116072.aspx,https://cdn.parfumdreams.de/Img/Art/13/Police-To-Be-Born-To-Shine-For-Man-Eau-de-Toilette-Spray-116072.jpg
Montale,Oud,Aoud Cuir D'Arabie,Eau de Parfum Spray,Men,"BP: €1,250.00* / 1000 ml",/Montale/Fragrances/Oud/Eau-de-Parfum-Spray/index_39782.aspx,https://cdn.parfumdreams.de/Img/Art/13/Montale-Oud-Aoud-Cuir-DArabie-Eau-de-Parfum-Spray-39782_1.jpg
Dunhill,Driven,,Eau de Parfum Spray,Men,BP: €579.50* / 1000 ml,/Dunhill/Mens-fragrances/Driven/Eau-de-Parfum-Spray/index_110645.aspx,https://cdn.parfumdreams.de/Img/Art/13/Dunhill-Driven-Eau-de-Parfum-Spray-110645x1_1.jpg
Jacques Zolty,Men's fragrances,Soupir Clandestin,Eau de Parfum Spray,Men,"BP: €1,449.50* / 1000 ml",/Jacques-Zolty/Fragrances/Mens-fragrances/Eau-de-Parfum-Spray/index_123109.aspx,https://cdn.parfumdreams.de/Img/Art/13/Jacques-Zolty-Herrenduefte-Soupir-Clandestin-Eau-de-Parfum-Spray-123109.jpg
Amouage,The Main Collection,,Eau de Parfum Spray,Men,"BP: €3,450.00* / 1000 ml",/Amouage/Collections/The-Main-Collection/Eau-de-Parfum-Spray/index_93886.aspx,https://cdn.parfumdreams.de/Img/Art/13/Amouage-The-Main-Collection-Interlude-Black-Iris-Eau-de-Parfum-Spray-93886_1.jpg
Parfums de Marly,Men,Greenley,Eau de Parfum Spray,Men,"BP: €2,532.67* / 1000 ml",/Parfums-de-Marly/Mens-fragrances/Men/Eau-de-Parfum-Spray/index_103033.aspx,https://cdn.parfumdreams.de/Img/Art/13/Parfums-de-Marly-Men-Greenley-Eau-de-Parfum-Spray-103033_5.jpg
Amouage,The Main Collection,Gold Man,Eau de Parfum Spray,Men,"BP: €3,450.00* / 1000 ml",/Amouage/Collections/The-Main-Collection/Eau-de-Parfum-Spray/index_117797.aspx,https://cdn.parfumdreams.de/Img/Art/13/Amouage-The-Main-Collection-Gold-Man-Eau-de-Parfum-Spray-117797.jpg
Amouage,The Main Collection,,Eau de Parfum Spray,Men,"BP: €3,450.00* / 1000 ml",/Amouage/Collections/The-Main-Collection/Eau-de-Parfum-Spray/index_86112.aspx,https://cdn.parfumdreams.de/Img/Art/13/Amouage-The-Main-Collection-Portrayal-Man-Eau-de-Parfum-Spray-86112_1.jpg
Amouage,The Main Collection,,Eau de Parfum Spray,Men,"BP: €3,450.00* / 1000 ml",/Amouage/Collections/The-Main-Collection/Eau-de-Parfum-Spray/index_34934.aspx,https://cdn.parfumdreams.de/Img/Art/13/Amouage-The-Main-Collection-Honour-Man-Eau-de-Parfum-Spray-34934_1.jpg
Jaguar Classic,Men,Gold in Black,Eau de Toilette Spray,Men,BP: €189.50* / 1000 ml,/Jaguar-Classic/Mens-fragrances/Men/Eau-de-Toilette-Spray/index_110461.aspx,https://cdn.parfumdreams.de/Img/Art/13/Jaguar-Classic-Men-Gold-in-Black-Eau-de-Toilette-Spray-110461_2.jpg
Mexx,Fresh Splash,,Eau de Toilette Spray,Men,BP: €465.00* / 1000 ml,/Mexx/Mens-fragrances/Fresh-Splash/Eau-de-Toilette-Spray/index_89815.aspx,https://cdn.parfumdreams.de/Img/Art/13/Mexx-Fresh-Splash-Eau-de-Toilette-Spray-89815.jpg
Creed,Silver Mountain Water,,Eau de Parfum Spray,Men,"BP: €3,800.00* / 1000 ml",/Creed/Mens-fragrances/Silver-Mountain-Water/Eau-de-Parfum-Spray/index_15934.aspx,https://cdn.parfumdreams.de/Img/Art/13/Creed-Silver-Mountain-Water-Eau-de-Parfum-Spray-15934_5.jpg
Police,Potion Power,,Eau de Parfum Spray,Men,BP: €698.33* / 1000 ml,/Police/Mens-fragrances/Potion-Power/Eau-de-Parfum-Spray/index_112380.aspx,https://cdn.parfumdreams.de/Img/Art/13/Police-Potion-Power-Eau-de-Parfum-Spray-112380.jpg
Hugh Parsons,Men,,Eau de Parfum Spray,Men,"BP: €1,009.50* / 1000 ml",/Hugh-Parsons/Mens-fragrances/Men/Eau-de-Parfum-Spray/index_17206.aspx,https://cdn.parfumdreams.de/Img/Art/13/Hugh-Parsons-Men-Eau-de-Parfum-Spray-17206.jpg
Yves Saint Laurent,Y,Live,Eau de Toilette Spray Intense,Men,"BP: €1,132.50* / 1000 ml",/Yves-Saint-Laurent/Mens-fragrances/Y/Eau-de-Toilette-Spray-Intense/index_87867.aspx,https://cdn.parfumdreams.de/Img/Art/13/Yves-Saint-Laurent-Y-Live-Eau-de-Toilette-Spray-Intense-87867_8.jpg
Jovan,Black Musk,,Eau de Cologne Spray,Men,BP: €127.27* / 1000 ml,/Jovan/Mens-fragrances/Black-Musk/Eau-de-Cologne-Spray/index_74370.aspx,https://cdn.parfumdreams.de/Img/Art/13/Jovan-Black-Musk-Eau-de-Cologne-Spray-74370.jpg
Bvlgari,Man Terrae Essence,,Gift Set,Men,BP: €141.95* / 1 pcs.,/Bvlgari/Mens-fragrances/Man-Terrae-Essence/Gift-Set/index_120675.aspx,https://cdn.parfumdreams.de/Img/Art/13/Bvlgari-Man-Terrae-Essence-Geschenkset-120675.jpg
Moresque,Sahara Blue,,Eau de Parfum Spray,Men,"BP: €5,099.00* / 1000 ml",/Moresque/Art-Collection/Sahara-Blue/Eau-de-Parfum-Spray/index_123088.aspx,https://cdn.parfumdreams.de/Img/Art/13/Moresque-Sahara-Blue-Eau-de-Parfum-Spray-123088.jpg
Jacques Zolty,Men's fragrances,Severo,Eau de Parfum Spray,Men,"BP: €1,449.50* / 1000 ml",/Jacques-Zolty/Fragrances/Mens-fragrances/Eau-de-Parfum-Spray/index_123113.aspx,https://cdn.parfumdreams.de/Img/Art/13/Jacques-Zolty-Herrenduefte-Severo-Eau-de-Parfum-Spray-123113.jpg
Jacques Zolty,Men's fragrances,Crazy Belle,Eau de Parfum Spray,Men,"BP: €1,449.50* / 1000 ml",/Jacques-Zolty/Fragrances/Mens-fragrances/Eau-de-Parfum-Spray/index_123114.aspx,https://cdn.parfumdreams.de/Img/Art/13/Jacques-Zolty-Herrenduefte-Crazy-Belle-Eau-de-Parfum-Spray-123114.jpg
EL GANSO,Sunday Mood,,Eau de Toilette Spray,Men,BP: €626.00* / 1000 ml,/EL-GANSO/Mens-fragrances/Sunday-Mood/Eau-de-Toilette-Spray/index_121913.aspx,https://cdn.parfumdreams.de/Img/Art/13/EL-GANSO-Sunday-Mood-Eau-de-Toilette-Spray-121913x1_1.jpg
Montale,Oud,Aoud Lime,Eau de Parfum Spray,Men,"BP: €1,250.00* / 1000 ml",/Montale/Fragrances/Oud/Eau-de-Parfum-Spray/index_39774.aspx,https://cdn.parfumdreams.de/Img/Art/13/Montale-Oud-Aoud-Lime-Eau-de-Parfum-Spray-39774_1.jpg
THE MERCHANT OF VENICE,La Fenice,Pour Homme,Eau de Parfum Spray,Men,"BP: €1,749.50* / 1000 ml",/THE-MERCHANT-OF-VENICE/Collection/La-Fenice/Eau-de-Parfum-Spray/index_69900.aspx,https://cdn.parfumdreams.de/Img/Art/13/THE-MERCHANT-OF-VENICE-La-Fenice-Pour-Homme-Eau-de-Parfum-Spray-69900_1.jpg
Etro,Patchouly,,Eau de Parfum Spray,Men,"BP: €1,699.50* / 1000 ml",/Etro/Mens-fragrances/Patchouly/Eau-de-Parfum-Spray/index_62588.aspx,https://cdn.parfumdreams.de/Img/Art/13/Etro-Patchouly-Eau-de-Parfum-Spray-62588_1.jpg
Hugh Parsons,Whitehall,,Eau de Parfum Spray,Men,"BP: €1,009.50* / 1000 ml",/Hugh-Parsons/Mens-fragrances/Whitehall/Eau-de-Parfum-Spray/index_41630.aspx,https://cdn.parfumdreams.de/Img/Art/13/Hugh-Parsons-Whitehall-Eau-de-Parfum-Spray-41630.jpg
Eisenberg,L'Art du Parfum,Diabolique Homme,Eau de Parfum Spray,Men,"BP: €2,231.67* / 1000 ml",/Eisenberg/Mens-fragrances/LArt-du-Parfum/Eau-de-Parfum-Spray/index_84708.aspx,https://cdn.parfumdreams.de/Img/Art/13/Eisenberg-LArt-du-Parfum-Diabolique-Homme-Eau-de-Parfum-Spray-84708_8.jpg
Mercedes Benz Perfume,Man,Private,Eau de Parfum Spray,Men,BP: €999.50* / 1000 ml,/Mercedes-Benz-Perfume/Mens-fragrances/Man/Eau-de-Parfum-Spray/index_100454.aspx,https://cdn.parfumdreams.de/Img/Art/13/Mercedes-Benz-Perfume-Man-Private-Eau-de-Parfum-Spray-100454.jpg
Mercedes Benz Perfume,The Move,,Eau de Toilette Spray,Men,"BP: €1,049.17* / 1000 ml",/Mercedes-Benz-Perfume/Mens-fragrances/The-Move/Eau-de-Toilette-Spray/index_100455.aspx,https://cdn.parfumdreams.de/Img/Art/13/Mercedes-Benz-Perfume-The-Move-Eau-de-Toilette-Spray-100455x1_1.jpg
Burberry,Mr. Burberry Black,,Eau de Parfum Spray,Men,"BP: €1,139.00* / 1000 ml",/Burberry/Mens-fragrances/Mr-Burberry-Black/Eau-de-Parfum-Spray/index_121119.aspx,https://cdn.parfumdreams.de/Img/Art/13/Burberry-Mr-Burberry-Black-Eau-de-Parfum-Spray-121119.jpg
XERJOFF,Shooting Stars Collection,Nio,Parfum,Men,"BP: €4,800.00* / 1000 ml",/XERJOFF/Collections/Shooting-Stars-Collection/Parfum/index_96883.aspx,https://cdn.parfumdreams.de/Img/Art/13/XERJOFF-Shooting-Stars-Collection-Nio-Parfum-96883.jpg
Amouage,The Odyssey Collection,Boundless,Eau de Parfum Spray,Men,"BP: €3,250.00* / 1000 ml",/Amouage/Collections/The-Odyssey-Collection/Eau-de-Parfum-Spray/index_117791.aspx,https://cdn.parfumdreams.de/Img/Art/13/Amouage-The-Odyssey-Collection-Boundless-Eau-de-Parfum-Spray-117791.jpg
Montale,Oud,Aoud Musk,Eau de Parfum Spray,Men,"BP: €1,250.00* / 1000 ml",/Montale/Fragrances/Oud/Eau-de-Parfum-Spray/index_40415.aspx,https://cdn.parfumdreams.de/Img/Art/13/Montale-Oud-Aoud-Musk-Eau-de-Parfum-Spray-40415_1.jpg
BALR.,Reflect,,Eau de Parfum Spray,Men,"BP: €1,099.00* / 1000 ml",/BALR/Mens-fragrances/Reflect/Eau-de-Parfum-Spray/index_105239.aspx,https://cdn.parfumdreams.de/Img/Art/13/BALR-Reflect-Eau-de-Parfum-Spray-105239.jpg
DIOR,Eau Sauvage,,Eau de Toilette Splash Bottle,Men,BP: €879.50* / 1000 ml,/DIOR/Mens-fragrances/Eau-Sauvage/Eau-de-Toilette-Splash-Bottle/index_16426.aspx,https://cdn.parfumdreams.de/Img/Art/13/DIOR-Eau-Sauvage-Eau-de-Toilette-Schuettflakon-16426_3.jpg
LEN Fragrance,Histoire Privée,Try To Follow Me,Extrait de Parfum,Men,"BP: €1,949.50* / 1000 ml",/LEN-Fragrance/Collection/Histoire-Privee/Extrait-de-Parfum/index_98154.aspx,https://cdn.parfumdreams.de/Img/Art/13/LEN-Fragrance-Histoire-Privee-Try-To-Follow-Me-Extrait-de-Parfum-98154.jpg
Hollister,Canyon Sky,,Eau de Toilette Spray,Men,BP: €565.00* / 1000 ml,/Hollister/Mens-fragrances/Canyon-Sky/Eau-de-Toilette-Spray/index_121377.aspx,https://cdn.parfumdreams.de/Img/Art/13/Hollister-Canyon-Sky-Eau-de-Toilette-Spray-121377.jpg
Montale,Wood,Santal Wood,Eau de Parfum Spray,Men,"BP: €1,250.00* / 1000 ml",/Montale/Fragrances/Wood/Eau-de-Parfum-Spray/index_40431.aspx,https://cdn.parfumdreams.de/Img/Art/13/Montale-Wood-Santal-Wood-Eau-de-Parfum-Spray-40431_1.jpg
XERJOFF,Shooting Stars Collection,Kobe,Parfum,Men,"BP: €4,800.00* / 1000 ml",/XERJOFF/Collections/Shooting-Stars-Collection/Parfum/index_96886.aspx,https://cdn.parfumdreams.de/Img/Art/13/XERJOFF-Shooting-Stars-Collection-Kobe-Parfum-96886.jpg
Pepe Jeans,Celebrate For Him,,Eau de Parfum Spray,Men,BP: €898.33* / 1000 ml,/Pepe-Jeans/Mens-fragrances/Celebrate-For-Him/Eau-de-Parfum-Spray/index_117673.aspx,https://cdn.parfumdreams.de/Img/Art/13/Pepe-Jeans-Celebrate-For-Him-Eau-de-Parfum-Spray-117673.jpg
THE MERCHANT OF VENICE,Nobil Homo,Venetian Blue,Gift Set,Men,BP: €189.95* / 1 pcs.,/THE-MERCHANT-OF-VENICE/Collection/Nobil-Homo/Gift-Set/index_117838.aspx,https://cdn.parfumdreams.de/Img/Art/13/THE-MERCHANT-OF-VENICE-Nobil-Homo-Venetian-Blue-Geschenkset-117838.jpg
XERJOFF,Shooting Stars Collection,Uden Overdose,Parfum,Men,"BP: €5,200.00* / 1000 ml",/XERJOFF/Collections/Shooting-Stars-Collection/Parfum/index_96881.aspx,https://cdn.parfumdreams.de/Img/Art/13/XERJOFF-Shooting-Stars-Collection-Uden-Overdose-Parfum-96881.jpg
Montale,Sea,Fougères Marines,Eau de Parfum Spray,Men,"BP: €1,050.00* / 1000 ml",/Montale/Fragrances/Sea/Eau-de-Parfum-Spray/index_39760.aspx,https://cdn.parfumdreams.de/Img/Art/13/Montale-Sea-Fougeres-Marines-Eau-de-Parfum-Spray-39760_1.jpg
EL GANSO,Like Father Like Son,,Eau de Toilette Spray,Men,BP: €626.00* / 1000 ml,/EL-GANSO/Mens-fragrances/Like-Father-Like-Son/Eau-de-Toilette-Spray/index_121912.aspx,https://cdn.parfumdreams.de/Img/Art/13/EL-GANSO-Like-Father-Like-Son-Eau-de-Toilette-Spray-121912x1_1.jpg
Floris London,Cefiro,,Eau de Toilette Spray,Men,"BP: €1,479.00* / 1000 ml",/Floris-London/Mens-fragrances/Cefiro/Eau-de-Toilette-Spray/index_28264.aspx,https://cdn.parfumdreams.de/Img/Art/13/Floris-London-Cefiro-Eau-de-Toilette-Spray-28264.jpg
Trussardi,Riflesso,,Gift Set,Men,BP: €80.95* / 1 pcs.,/Trussardi/Mens-fragrances/Riflesso/Gift-Set/index_122718.aspx,https://cdn.parfumdreams.de/Img/Art/13/Trussardi-Riflesso-Geschenkset-122718.jpg
Montblanc,Legend Red,,Gift Set,Men,BP: €65.95* / 1 pcs.,/Montblanc/Mens-fragrances/Legend-Red/Gift-Set/index_120984.aspx,https://cdn.parfumdreams.de/Img/Art/13/Montblanc-Legend-Red-Geschenkset-120984.jpg
Michael Michalsky,Intense for Men,,Eau de Toilette Spray,Men,BP: €398.00* / 1000 ml,/Michael-Michalsky/Mens-fragrances/Intense-for-Men/Eau-de-Toilette-Spray/index_116016.aspx,https://cdn.parfumdreams.de/Img/Art/13/Michael-Michalsky-Intense-for-Men-Eau-de-Toilette-Spray-116016.jpg
Parfums de Marly,Men,Darley,Eau de Parfum Spray,Men,"BP: €1,759.60* / 1000 ml",/Parfums-de-Marly/Mens-fragrances/Men/Eau-de-Parfum-Spray/index_46075.aspx,https://cdn.parfumdreams.de/Img/Art/13/Parfums-de-Marly-Men-Darley-Eau-de-Parfum-Spray-46075.jpg
Montblanc,Emblem,,Eau de Toilette Spray,Men,BP: €649.50* / 1000 ml,/Montblanc/Mens-fragrances/Emblem/Eau-de-Toilette-Spray/index_46358.aspx,https://cdn.parfumdreams.de/Img/Art/13/Montblanc-Emblem-Eau-de-Toilette-Spray-46358_1.jpg
Montblanc,Explorer,,Gift Set,Men,BP: €71.95* / 1 pcs.,/Montblanc/Mens-fragrances/Explorer/Gift-Set/index_120982.aspx,https://cdn.parfumdreams.de/Img/Art/13/Montblanc-Explorer-Geschenkset-120982.jpg
Lalique,Equus,,Eau de Parfum Spray,Men,BP: €679.33* / 1000 ml,/Lalique/Mens-fragrances/Equus/Eau-de-Parfum-Spray/index_16934.aspx,https://cdn.parfumdreams.de/Img/Art/13/Lalique-Equus-Eau-de-Parfum-Spray-16934.jpg
Hugh Parsons,Oxford Street,,Eau de Parfum Spray,Men,"BP: €1,009.50* / 1000 ml",/Hugh-Parsons/Mens-fragrances/Oxford-Street/Eau-de-Parfum-Spray/index_20069.aspx,https://cdn.parfumdreams.de/Img/Art/13/Hugh-Parsons-Oxford-Street-Eau-de-Parfum-Spray-20069.jpg
Jacomo,Jacomo For Men,,Eau de Toilette Spray,Men,BP: €609.50* / 1000 ml,/Jacomo/Mens-fragrances/Jacomo-For-Men/Eau-de-Toilette-Spray/index_91134.aspx,https://cdn.parfumdreams.de/Img/Art/13/Jacomo-Jacomo-For-Men-Eau-de-Toilette-Spray-91134.jpg
Etro,Via Verri,,Eau de Toilette Spray,Men,BP: €999.50* / 1000 ml,/Etro/Unisex-fragrances/Via-Verri/Eau-de-Toilette-Spray/index_36739.aspx,https://cdn.parfumdreams.de/Img/Art/13/Etro-Via-Verri-Eau-de-Toilette-Spray-36739x1_4.jpg
Parfums de Marly,Men,Shagya,Eau de Parfum Spray,Men,"BP: €1,759.60* / 1000 ml",/Parfums-de-Marly/Mens-fragrances/Men/Eau-de-Parfum-Spray/index_46074.aspx,https://cdn.parfumdreams.de/Img/Art/13/Parfums-de-Marly-Men-Shagya-Eau-de-Parfum-Spray-46074.jpg
Masakï Matsushïma,"M, 0°C",,Eau de Toilette Spray,Men,"BP: €1,048.75* / 1000 ml",/Masaki-Matsushima/Mens-fragrances/M-0C/Eau-de-Toilette-Spray/index_57998.aspx,"https://cdn.parfumdreams.de/Img/Art/13/Masaki-Matsushima-M,-0°C-Eau-de-Toilette-Spray-57998.jpg"
Proraso,Azur Lime,,Eau de Cologne Spray,Men,BP: €339.50* / 1000 ml,/Proraso/Mens-skin-care-/Azur-Lime/Eau-de-Cologne-Spray/index_96507.aspx,https://cdn.parfumdreams.de/Img/Art/13/Proraso-Azur-Lime-Eau-de-Cologne-Spray-96507.jpg
Lacoste,L'Homme Lacoste Intense,,Eau de Toilette Spray,Men,"BP: €1,199.00* / 1000 ml",/Lacoste/Mens-fragrances/LHomme-Lacoste-Intense/Eau-de-Toilette-Spray/index_77146.aspx,https://cdn.parfumdreams.de/Img/Art/13/Lacoste-LHomme-Lacoste-Intense-Eau-de-Toilette-Spray-77146_1.jpg
Estée Lauder,Lauder for Men,,Eau de Cologne Spray,Men,BP: €689.50* / 1000 ml,/Estee-Lauder/Mens-fragrances/Lauder-for-Men/Eau-de-Cologne-Spray/index_11400.aspx,https://cdn.parfumdreams.de/Img/Art/13/Estee-Lauder-Lauder-for-Men-Eau-de-Cologne-Spray-11400.jpg
Parfums de Marly,Men,Byerley,Eau de Parfum Spray,Men,"BP: €1,999.60* / 1000 ml",/Parfums-de-Marly/Mens-fragrances/Men/Eau-de-Parfum-Spray/index_47371.aspx,https://cdn.parfumdreams.de/Img/Art/13/Parfums-de-Marly-Men-Byerley-Eau-de-Parfum-Spray-47371.jpg
Lacoste,Lacoste Red,,Eau de Toilette Spray,Men,BP: €772.67* / 1000 ml,/Lacoste/Mens-fragrances/Lacoste-Red/Eau-de-Toilette-Spray/index_120403.aspx,https://cdn.parfumdreams.de/Img/Art/13/Lacoste-Lacoste-Red-Eau-de-Toilette-120403x1_1.jpg
Police,Good Vibes For Man,,Eau de Toilette Spray,Men,BP: €548.75* / 1000 ml,/Police/Mens-fragrances/Good-Vibes-For-Man/Eau-de-Toilette-Spray/index_106743.aspx,https://cdn.parfumdreams.de/Img/Art/13/Police-Good-Vibes-For-Man-Eau-de-Toilette-Spray-106743.jpg
Issey Miyake,L'Eau d'Issey pour Homme,IGO,Eau de Toilette Spray,Men,BP: €849.50* / 1000 ml,/Issey-Miyake/Mens-fragrances/LEau-dIssey-pour-Homme/Eau-de-Toilette-Spray/index_90207.aspx,https://cdn.parfumdreams.de/Img/Art/13/Issey-Miyake-LEau-dIssey-pour-Homme-IGO-Eau-de-Toilette-Spray-90207.jpg
Clive Christian,Original Collection,X Masculine,Perfume Spray,Men,"BP: €7,000.00* / 1000 ml",/Clive-Christian/Collections/Original-Collection/Perfume-Spray/index_114683.aspx,https://cdn.parfumdreams.de/Img/Art/13/Clive-Christian-Original-Collection-X-Masculine-Perfume-Spray-114683.jpg
Clive Christian,Original Collection,1872 Masculine,Perfume Spray,Men,"BP: €7,000.00* / 1000 ml",/Clive-Christian/Collections/Original-Collection/Perfume-Spray/index_114685.aspx,https://cdn.parfumdreams.de/Img/Art/13/Clive-Christian-Original-Collection-1872-Masculine-Perfume-Spray-114685.jpg
Clive Christian,Original Collection,,Travellers Set Masculine,Men,BP: €280.00* / 1 pcs.,/Clive-Christian/Collections/Original-Collection/Travellers-Set-Masculine/index_114687.aspx,https://cdn.parfumdreams.de/Img/Art/13/Clive-Christian-Original-Collection-Travellers-Set-Masculine-114687.jpg
Montale,Sea,Embruns D'Essaouira,Eau de Parfum Spray,Men,"BP: €1,050.00* / 1000 ml",/Montale/Fragrances/Sea/Eau-de-Parfum-Spray/index_39759.aspx,https://cdn.parfumdreams.de/Img/Art/13/Montale-Sea-Embruns-DEssaouira-Eau-de-Parfum-Spray-39759_1.jpg
Lacoste,L.12.12 Homme,Blanc Eau Intense,Eau de Toilette Spray,Men,BP: €739.50* / 1000 ml,/Lacoste/Mens-fragrances/L1212-Homme/Eau-de-Toilette-Spray/index_120383.aspx,https://cdn.parfumdreams.de/Img/Art/13/Lacoste-L1212-Homme-Blanc-Eau-Intense-Eau-de-Toilette-Spray-120383.jpg
Amouage,The Odyssey Collection,Enclave,Eau de Parfum Spray,Men,"BP: €3,250.00* / 1000 ml",/Amouage/Collections/The-Odyssey-Collection/Eau-de-Parfum-Spray/index_111441.aspx,https://cdn.parfumdreams.de/Img/Art/13/Amouage-The-Odyssey-Collection-Enclave-Eau-de-Parfum-Spray-111441_1.jpg
Korloff,K88 Collection,In White,Eau de Toilette Spray,Men,BP: €817.61* / 1000 ml,/Korloff/Unisex-fragrances/K88-Collection/Eau-de-Toilette-Spray/index_109794.aspx,https://cdn.parfumdreams.de/Img/Art/13/Korloff-K88-Collection-In-White-Eau-de-Toilette-Spray-109794.jpg
Korloff,K88 Collection,Pour Homme,Eau de Parfum Spray,Men,"BP: €1,044.89* / 1000 ml",/Korloff/Unisex-fragrances/K88-Collection/Eau-de-Parfum-Spray/index_109795.aspx,https://cdn.parfumdreams.de/Img/Art/13/Korloff-K88-Collection-Pour-Homme-Eau-de-Parfum-Spray-109795.jpg
BULLFROG,Men's fragrances,Elisir N.1 Deadly Nightshade,Eau de Parfum Spray,Men,BP: €949.50* / 1000 ml,/BULLFROG/Fragrances/Mens-fragrances/Eau-de-Parfum-Spray/index_97126.aspx,https://cdn.parfumdreams.de/Img/Art/13/BULLFROG-Herrenduefte-Elisir-N1-Deadly-Nightshade-Eau-de-Parfum-Spray-97126.jpg
Parfums de Marly,Arabian Breed,Oajan,Eau de Parfum Spray,Men,"BP: €1,999.60* / 1000 ml",/Parfums-de-Marly/Mens-fragrances/Arabian-Breed/Eau-de-Parfum-Spray/index_46083.aspx,https://cdn.parfumdreams.de/Img/Art/13/Parfums-de-Marly-Arabian-Breed-Oajan-Eau-de-Parfum-Spray-46083.jpg
Marbert,Man Pure Black Intense,,Eau de Toilette Spray,Men,BP: €127.60* / 1000 ml,/Marbert/Mens-fragrances/Man-Pure-Black-Intense/Eau-de-Toilette-Spray/index_118845.aspx,https://cdn.parfumdreams.de/Img/Art/13/Marbert-Man-Pure-Black-Intense-Eau-de-Toilette-Spray-118845.jpg
Yves Saint Laurent,M7,M7,Eau de Toilette Spray,Men,"BP: €1,086.88* / 1000 ml",/Yves-Saint-Laurent/Mens-fragrances/M7/Eau-de-Toilette-Spray/index_35603.aspx,https://cdn.parfumdreams.de/Img/Art/13/Yves-Saint-Laurent-M7-Eau-de-Toilette-Spray-35603_1.jpg
Houbigant,Duc de Vervins,,Eau de Toilette Spray,Men,"BP: €1,041.25* / 1000 ml",/Houbigant/Mens-fragrances/Duc-de-Vervins/Eau-de-Toilette-Spray/index_36980.aspx,https://cdn.parfumdreams.de/Img/Art/13/Houbigant-Duc-de-Vervins-Eau-de-Toilette-Spray-36980.jpg
Houbigant,Fougère Royale,,Eau de Parfum Spray,Men,"BP: €1,599.50* / 1000 ml",/Houbigant/Mens-fragrances/Fougere-Royale/Eau-de-Parfum-Spray/index_36987.aspx,https://cdn.parfumdreams.de/Img/Art/13/Houbigant-Fougere-Royale-Eau-de-Parfum-Spray-36987_1.jpg
Houbigant,Bois Mystique,,Extrait,Men,"BP: €4,599.50* / 1000 ml",/Houbigant/Mens-fragrances/Bois-Mystique/Extrait/index_80727.aspx,https://cdn.parfumdreams.de/Img/Art/13/Houbigant-Bois-Mystique-Extrait-80727.jpg
Houbigant,Bois Mystique,,Eau de Parfum Spray,Men,"BP: €1,599.50* / 1000 ml",/Houbigant/Mens-fragrances/Bois-Mystique/Eau-de-Parfum-Spray/index_80728.aspx,https://cdn.parfumdreams.de/Img/Art/13/Houbigant-Bois-Mystique-Eau-de-Parfum-Spray-80728.jpg
Houbigant,Duc de Vervins,L'Extreme,Eau de Parfum Spray,Men,"BP: €1,291.25* / 1000 ml",/Houbigant/Mens-fragrances/Duc-de-Vervins/Eau-de-Parfum-Spray/index_36981.aspx,https://cdn.parfumdreams.de/Img/Art/13/Houbigant-Duc-de-Vervins-LExtreme-Eau-de-Parfum-Spray-36981.jpg
Amouage,Fate Man,,Eau de Parfum Spray,Men,"BP: €4,700.00* / 1000 ml",/Amouage/Mens-fragrances/Fate-Man/Eau-de-Parfum-Spray/index_44586.aspx,https://cdn.parfumdreams.de/Img/Art/13/Amouage-Fate-Man-Eau-de-Parfum-Spray-44586.jpg
Pana Dora Sweden,Grand Musk,,Extrait de Parfum Spray,Men,"BP: €2,499.50* / 1000 ml",/Pana-Dora-Sweden/Mens-fragrances/Grand-Musk/Extrait-de-Parfum-Spray/index_115134.aspx,https://cdn.parfumdreams.de/Img/Art/13/Pana-Dora-Sweden-Grand-Musk-Extrait-de-Parfum-Spray-115134.jpg
