brand,name_1,name_2,category,gender,base_price,url,image
Armani,Acqua di Giò Homme,,Eau de Toilette Spray,Men,"BP: €1,019.00* / 1000 ml",/Armani/Emporio-Armani-Parfums/Acqua-di-Gio-Homme/Eau-de-Toilette-Spray/index_11073.aspx,https://cdn.parfumdreams.de/Img/Art/13/Armani-Acqua-di-Gio-Homme-Eau-de-Toilette-Spray-11073x1_100.jpg
Versace,Eros Flame,,Eau de Parfum Spray,Men,"BP: €1,231.67* / 1000 ml",/Versace/Mens-fragrances/Eros-Flame/Eau-de-Parfum-Spray/index_80495.aspx,https://cdn.parfumdreams.de/Img/Art/13/Versace-Eros-Flame-Eau-de-Parfum-Spray-80495_9.jpg
DIOR,Fahrenheit,,Le Parfum Spray,Men,"BP: €1,372.67* / 1000 ml",/DIOR/Mens-fragrances/Fahrenheit/Le-Parfum-Spray/index_44912.aspx,https://cdn.parfumdreams.de/Img/Art/13/DIOR-Fahrenheit-Le-Parfum-Spray-44912_2.jpg
Versace,Eros,,Eau de Toilette Spray,Men,"BP: €1,231.67* / 1000 ml",/Versace/Mens-fragrances/Eros/Eau-de-Toilette-Spray/index_41341.aspx,https://cdn.parfumdreams.de/Img/Art/13/Versace-Eros-Eau-de-Toilette-Spray-41341_5.jpg
Prada,Luna Rossa,Black,Eau de Parfum Spray,Men,"BP: €1,259.00* / 1000 ml",/Prada/Mens-fragrances/Luna-Rossa/Eau-de-Parfum-Spray/index_80286.aspx,https://cdn.parfumdreams.de/Img/Art/13/Prada-Prada-Luna-Rossa-Black-Eau-de-Parfum-Spray-80286_8.jpg
JOOP!,Homme,,Eau de Toilette Spray,Men,BP: €665.00* / 1000 ml,/JOOP!/Mens-fragrances/Homme/Eau-de-Toilette-Spray/index_17473.aspx,https://cdn.parfumdreams.de/Img/Art/13/JOOP!-Homme-Eau-de-Toilette-Spray-17473x2_13.jpg
Versace,Eros,,Eau de Parfum Spray,Men,"BP: €1,039.00* / 1000 ml",/Versace/Mens-fragrances/Eros/Eau-de-Parfum-Spray/index_95162.aspx,https://cdn.parfumdreams.de/Img/Art/13/Versace-Eros-Eau-de-Parfum-Spray-95162_10.jpg
Dolce&Gabbana,The One For Men,,Eau de Parfum Spray,Men,"BP: €1,339.00* / 1000 ml",/DolceGabbana/Mens-fragrances/The-One-For-Men/Eau-de-Parfum-Spray/index_53437.aspx,https://cdn.parfumdreams.de/Img/Art/13/DolceGabbana-The-One-For-Men-Eau-de-Parfum-Spray-53437_6.jpg
Cartier,Déclaration,,Eau de Toilette Spray,Men,BP: €859.50* / 1000 ml,/Cartier/Mens-fragrances/Declaration/Eau-de-Toilette-Spray/index_15452.aspx,https://cdn.parfumdreams.de/Img/Art/13/Cartier-Declaration-Eau-de-Toilette-Spray-15452x1_5.jpg
DIOR,Sauvage,Elixir,Eau de Parfum Spray,Men,"BP: €2,215.83* / 1000 ml",/DIOR/Mens-fragrances/Sauvage/Eau-de-Parfum-Spray/index_105571.aspx,https://cdn.parfumdreams.de/Img/Art/13/DIOR-Sauvage-Elixir-Eau-de-Parfum-Spray-105571_16.jpg
Maison Margiela,Replica,Jazz Club,Eau de Toilette Spray,Men,"BP: €1,865.00* / 1000 ml",/Maison-Margiela/Mens-fragrances/Replica/Eau-de-Toilette-Spray/index_44807.aspx,https://cdn.parfumdreams.de/Img/Art/13/Maison-Margiela-Replica-Jazz-Club-Eau-de-Toilette-Spray-44807_1.jpg
Valentino,Uomo Born In Roma,,Eau de Parfum Spray Intense,Men,"BP: €1,089.50* / 1000 ml",/Valentino/Mens-fragrances/Uomo-Born-In-Roma/Eau-de-Parfum-Spray-Intense/index_119358.aspx,https://cdn.parfumdreams.de/Img/Art/13/Valentino-Uomo-Born-In-Roma-Eau-de-Toilette-Spray-Intense-119358x1_1.jpg
